log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country
FW000002394,09-06-2026 11:22:07 AM,LPT-11180,10.232.175,999.999.999.999,25,443,other,allow,727539,15092296,NA,False,,US
FW000010469,2026-09-03 07:11:28,LPT-12202,192.168.69.,10.33.1,8080,25,tcp,deny,31543169,20792470,sid191825,False,block_tor_exit,CN
FW000014783,13/08/2026 17:11,VDR-12618,192.168.39.124,101.219.19.127.0,-1,135,udp,allow,23607256,20374317,SID963012,yes,UNKNOWN,unknown
FW000020363,,VDR-11201,156.204.122.36,171.31.88.211.0,8443,NA,udp,deny,,40629470,SID910746,no,,unknown
FW000001711,2026-08-25T08:26:06,LPT-11882,145.73.181.9,192.168.203.,3389,8080,udp,allow,43682143,2159125,SID714372,False,DENY_TELNET,RU
FW000006743,2026-09-05T22:06:16,WS-12120,10.41.244.,192.168.55.8,22,8443,other,allow,26306691,13482874,sid982658,False,allow_office_apps,RU
FW000013362,08/09/2026 00:07,WS-10408,192.168.81.155,UNKNOWN,,,tcp,deny,46733971,40723164,,False,,IN
FW000012537,21/08/2026 04:35,,10.50.239,183.114.107.123,8443,NA,tcp,allow,22350548,12075054,,0,MONITOR_DB_ACCESS,US
FW000013677,09-Aug-2026 10:12:18,VDR-11508,192.168.133.133,10.244.117,445,8080,tcp,allow,35366491,21521981,SID605740,False,allow_office_apps,
FW000028164,2026-08-15 10:08:00,WS-12879,67.230.146.16,10.199.238.,443,135,tcp,allow,39736811,16679948,SID865676,N,allow_office_apps,CN
FW000018439,2026-08-20T14:13:49,WS-11108,123.248.215.152,10-139.158,8443,,tcp,allow,39606947,45749370,SID816338,False,MONITOR_DB_ACCESS,US
FW000005116,08/08/2026 12:40,,172.16.29.142.0,143.230.236.92,3389,3389,tcp,allow,35549756,26804,SID209067,False,UNKNOWN,CN
FW000012406,2026-08-17 20:22:19,WS-11953,192.168.139.226,213.15.99.,8080,0,tcp,allow,49527024,17088650,SID989548,False,ALLOW_INTERNAL_DNS,US
FW000027859,,WS-11372,10.235.103,155.241.210.,8080,25,udp,deny,,8848228,SID321081,N,block_tor_exit,
FW000002141,09/09/2026,VDR-10638,,10.160.12,-5,135,tcp,allow,38886739,38577111,SID195136,False,UNKNOWN,CN
FW000013089,23/08/2026 03:54,VDR-10165,181-44.144.51,122.161.65.162,97882,443,tcp,deny,5333880,33603939,SID707651,N,ALLOW_WEB,
FW000010655,,LPT-11191,10.162.144.0,10.149.71,8443,,udp,deny,20588901,21425754,SID903924,False,UNKNOWN,IN
FW000007354,,,61.27.27.235,192.168.171.,85108,80,tcp,deny,12863477,7681667,SID598053,True,DENY_TELNET,RU
FW000026490,08-04-2026 03:23:15 AM,VDR-10498,105.145.224.169,192.168.70.44,8443,80,tcp,deny,36857446,,SID320757,N,ALLOW_INTERNAL_DNS,
FW000007603,23/08/2026,VDR-12480,182.140.176.178,103.61.182.141,443,8443,other,deny,29951357,18098013,SID531430,N,block_tor_exit,CN
